[I] 2008-11-12 19:22:28.816 (0x1238):ErrorCode[0]_Visual IVR Editor Started...,Version:6.9.6
[I] 2008-11-12 19:24:19.768 (0x15B8):ErrorCode[0]_Visual IVR Editor Started...,Version:6.9.6
[I] 2008-11-12 19:24:20.216 (0x15B8):ErrorCode[0]_Connect to Database successful! ,ConnectionString:Provider=SQLOLEDB;Integrated Security=SSPI;Data Source=127.0.0.1;Initial Catalog=dbCallcenter
[I] 2008-11-12 19:24:26.784 (0x15B8):ErrorCode[0]_Open CallFlow and Nodes Record...,Callflow ID:108 Callflow Name:PowerDISA
[E] 2008-11-12 19:24:27.064 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.064 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.064 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.064 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.080 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.080 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.080 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.080 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.080 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.080 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.096 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.096 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.096 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.096 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.096 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.112 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.112 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.112 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.112 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
[E] 2008-11-12 19:24:27.112 (0x15B8):ErrorCode[94]_Show Call flow on Screen got error, Callflow ID: 108,使用 Null 无效
